bat_ID	sex	age	DATA	Temp	Rel_Hum	WEIGTHT	ARMLETH	BODY_TEMP	Peak_Freq
FB1095	1	1	8.24	16.9	89.2	17.61	56.93	36.2	67.819
FB1096	2	2	8.24	18.3	87.6	25.37	57.99	35.5	68.864
FB1097	2	1	8.24	17.5	90.4	14.04	57.12	34.3	NA
FB1098	1	1	8.24	16.9	90.8	18.48	58.57	35.5	68.098
FB1099	2	1	8.24	14.7	92.7	19.44	60.39	36.3	68.748
FB1100	2	2	8.24	14.7	93	25.64	58.98	36.8	68.2615
FB1101	1	1	8.24	15	93.3	17.5	58.05	33.6	68.1875
FB1102	1	1	8.24	15.1	93	18.63	57.68	34.1	68.4248
FB1103	1	1	8.24	18.2	86	18.73	58.34	36.5	67.991
FB1104	2	1	8.24	15.3	92.2	18.01	57.47	34	68.082
FB1105	1	1	8.24	15.3	91.3	16.48	57.95	33.2	68.4635
FB1106	2	2	8.24	15.6	91.5	22.32	60.68	35	68.739
FB1107	2	2	8.24	15.3	91.4	23.46	59.94	34.9	68.642
FB1108	2	2	8.25	19.1	89.2	27.33	59.16	36.6	68.1965
FB1109	1	1	8.25	19.2	88.9	19.75	59.13	37.7	68.7715
FB1110	2	1	8.25	19	90.1	18.78	60.08	37.2	68.4215
FB1111	2	2	8.25	18.9	90	21.24	59.46	38	68.817
FB1112	1	1	8.25	19.1	88.8	18.75	56.98	36.7	68.6675
FB1113	2	1	8.25	19.1	88.8	18.92	58.58	38	68.8515
FB1114	2	2	8.25	19	88.9	22.94	59.99	37.2	68.6605
FB1115	1	1	8.25	19.1	86.6	18.18	57.24	36.2	68.873
FB1116	2	2	8.25	19.3	87.2	23.75	57.57	35.9	68.8525
FB1117	2	2	8.25	NA	NA	24.76	57.83	36.4	NA
FB1118	2	1	8.25	19.2	87.5	20.76	59.25	35.7	68.0205
FB1119	2	1	8.25	19.1	87.5	18.16	56.36	36.4	68.5765
FB1120	1	2	8.25	19	87.8	20.54	57.99	37	68.735
FB1121	2	2	8.25	19	88.7	24.22	60.14	36.4	NA
FB1122	2	1	8.25	19	89	19.2	61.29	36.8	68.4565
FB1123	1	1	8.25	19.3	86.9	18.72	58.08	37.5	68.558
FB1124	2	2	9.1	21.1	64.3	19.24	59.23	34.5	68.754
FB1125	1	1	8.25	19.1	88.1	17.04	57.5	33.5	67.643
FB1126	1	1	8.25	19.4	85.9	17.85	57.98	34.6	68.787
FB1127	1	1	8.25	19.4	86.5	18.2	59.65	34.1	68.8594
